url,product_title,vendeur,retrait,product_price,licence,Descriptif_produit,marque,GTIN,ref_EAN,etoile,etoile_qualite_prix
https://www.auchan.fr/auchan-le-traiteur-pizza-crue-aux-4-fromages/pr-C1352388,Pizza crue aux 4 fromages,,,,,,,,"27960,/,2030500279604",4.7,2.0
https://www.auchan.fr/auchan-le-traiteur-pizza-crue-reine-jambon-champignons/pr-C1348688,Pizza crue Reine jambon champignons,,,,,,,,"27909,/,2030500279093",4.5,
https://www.auchan.fr/auchan-banh-bao-au-porc-et-a-la-coriandre/pr-C1539759,Banh bao au porc et à la coriandre,,,,,,,,"929880,/,3596710510825",3.7,
https://www.auchan.fr/mon-boucher-escalope-de-jambon-a-griller/pr-C1494066,Escalope de jambon à griller,,,,,,,,"19752,/,2030500197526",,
https://www.auchan.fr/mon-boucher-filet-de-porc-sans-os-a-rotir-label-rouge/pr-C1510143,Filet de porc sans os à rôtir Label Rouge,,,,,,,,"49311,/,2030500493116",,
https://www.auchan.fr/auchan-le-traiteur-beignets-de-crevette-pane-sauce-aigre-douce/pr-C1348267,Beignets de crevette pané sauce aigre douce,,,,,,,,"29055,/,3254560290556",3.7,
https://www.auchan.fr/blini-houmous-pois-chiches-sesame/pr-C1200465,Houmous pois chiches sésame,,,,,,,,"14343,/,3292070001576",4,
https://www.auchan.fr/mon-boucher-epaule-de-porc-sans-os-a-rotir/pr-C1494101,Epaule de porc sans os à rôtir,,,,,,,,"17591,/,2030500175913",5.0,
https://www.auchan.fr/boursin-specialite-a-tartiner-tomate-poivron-et-pointe-de-piment/pr-C1302019,Spécialité à tartiner tomate poivron et pointe de piment,,,,,,,,"919737,/,3073781134391",4.2,
https://www.auchan.fr/mon-boucher-poitrine-de-porc-tranche-avec-os-a-griller/pr-C1510158,Poitrine de porc tranché avec os à griller,,,,,,,,"49181,/,2030500491815","4,8",
https://www.auchan.fr/cruscana-tomates-basilic-a-tartiner-ou-mitonner/pr-C1158429,Tomates & basilic à tartiner ou mitonner,,,,,,,,"802246,/,3253331501037",3.7,
https://www.auchan.fr/mon-boucher-ribs-de-porc-a-griller/pr-C1494143,Ribs de porc à griller,,,,,,,,"23784,/,2030500237840",3.5,
https://www.auchan.fr/l-atelier-blini-guacamole-morceaux-d-avocats-jus-de-citron-bio/pr-C1185162,Guacamole morceaux d'avocats & jus de citron bio,,,,,,,,"322590,/,3292070009572",3.5,
